run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,binedges,binvalues,vectime,vecvalue
Deterministic-10-20210222-16:50:18-30962,runattr,,,configname,Deterministic,,,,,,,,,,,
Deterministic-10-20210222-16:50:18-30962,runattr,,,datetime,20210222-16:50:18,,,,,,,,,,,
Deterministic-10-20210222-16:50:18-30962,runattr,,,experiment,Deterministic-,,,,,,,,,,,
Deterministic-10-20210222-16:50:18-30962,runattr,,,inifile,tests.ini,,,,,,,,,,,
Deterministic-10-20210222-16:50:18-30962,runattr,,,iterationvars,,,,,,,,,,,,
Deterministic-10-20210222-16:50:18-30962,runattr,,,iterationvarsf,,,,,,,,,,,,
Deterministic-10-20210222-16:50:18-30962,runattr,,,measurement,,,,,,,,,,,,
Deterministic-10-20210222-16:50:18-30962,runattr,,,network,Floorplan,,,,,,,,,,,
Deterministic-10-20210222-16:50:18-30962,runattr,,,processid,30962,,,,,,,,,,,
Deterministic-10-20210222-16:50:18-30962,runattr,,,repetition,10,,,,,,,,,,,
Deterministic-10-20210222-16:50:18-30962,runattr,,,replication,#10,,,,,,,,,,,
Deterministic-10-20210222-16:50:18-30962,runattr,,,resultdir,results,,,,,,,,,,,
Deterministic-10-20210222-16:50:18-30962,runattr,,,runnumber,10,,,,,,,,,,,
Deterministic-10-20210222-16:50:18-30962,runattr,,,seedset,0,,,,,,,,,,,
Deterministic-10-20210222-16:50:18-30962,param,,,Floorplan.userCount,150,,,,,,,,,,,
Deterministic-0-20210222-16:50:18-30960,runattr,,,configname,Deterministic,,,,,,,,,,,
Deterministic-0-20210222-16:50:18-30960,runattr,,,datetime,20210222-16:50:18,,,,,,,,,,,
Deterministic-0-20210222-16:50:18-30960,runattr,,,experiment,Deterministic-,,,,,,,,,,,
Deterministic-0-20210222-16:50:18-30960,runattr,,,inifile,tests.ini,,,,,,,,,,,
Deterministic-0-20210222-16:50:18-30960,runattr,,,iterationvars,,,,,,,,,,,,
Deterministic-0-20210222-16:50:18-30960,runattr,,,iterationvarsf,,,,,,,,,,,,
Deterministic-0-20210222-16:50:18-30960,runattr,,,measurement,,,,,,,,,,,,
Deterministic-0-20210222-16:50:18-30960,runattr,,,network,Floorplan,,,,,,,,,,,
Deterministic-0-20210222-16:50:18-30960,runattr,,,processid,30960,,,,,,,,,,,
Deterministic-0-20210222-16:50:18-30960,runattr,,,repetition,0,,,,,,,,,,,
Deterministic-0-20210222-16:50:18-30960,runattr,,,replication,#0,,,,,,,,,,,
Deterministic-0-20210222-16:50:18-30960,runattr,,,resultdir,results,,,,,,,,,,,
Deterministic-0-20210222-16:50:18-30960,runattr,,,runnumber,0,,,,,,,,,,,
Deterministic-0-20210222-16:50:18-30960,runattr,,,seedset,0,,,,,,,,,,,
Deterministic-0-20210222-16:50:18-30960,param,,,Floorplan.userCount,150,,,,,,,,,,,
Deterministic-1-20210222-16:50:18-30960,runattr,,,configname,Deterministic,,,,,,,,,,,
Deterministic-1-20210222-16:50:18-30960,runattr,,,datetime,20210222-16:50:18,,,,,,,,,,,
Deterministic-1-20210222-16:50:18-30960,runattr,,,experiment,Deterministic-,,,,,,,,,,,
Deterministic-1-20210222-16:50:18-30960,runattr,,,inifile,tests.ini,,,,,,,,,,,
Deterministic-1-20210222-16:50:18-30960,runattr,,,iterationvars,,,,,,,,,,,,
Deterministic-1-20210222-16:50:18-30960,runattr,,,iterationvarsf,,,,,,,,,,,,
Deterministic-1-20210222-16:50:18-30960,runattr,,,measurement,,,,,,,,,,,,
Deterministic-1-20210222-16:50:18-30960,runattr,,,network,Floorplan,,,,,,,,,,,
Deterministic-1-20210222-16:50:18-30960,runattr,,,processid,30960,,,,,,,,,,,
Deterministic-1-20210222-16:50:18-30960,runattr,,,repetition,1,,,,,,,,,,,
