run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,binedges,binvalues,vectime,vecvalue
StartNodePositionHighDensityTime-10-20210614-13:08:30-32565,runattr,,,configname,StartNodePositionHighDensityTime,,,,,,,,,,,
StartNodePositionHighDensityTime-10-20210614-13:08:30-32565,runattr,,,datetime,20210614-13:08:30,,,,,,,,,,,
StartNodePositionHighDensityTime-10-20210614-13:08:30-32565,runattr,,,experiment,"StartNodePositionHighDensityTime-T=2,D=2,m=2,R=14,TO=2+2+1,X=0,Y=0-",,,,,,,,,,,
StartNodePositionHighDensityTime-10-20210614-13:08:30-32565,runattr,,,inifile,simulations.ini,,,,,,,,,,,
StartNodePositionHighDensityTime-10-20210614-13:08:30-32565,runattr,,,iterationvars,"$T=2, $D=2, $m=2, $R=14, $TO=2+2+1, $X=0, $Y=0",,,,,,,,,,,
StartNodePositionHighDensityTime-10-20210614-13:08:30-32565,runattr,,,iterationvarsf,"T=2,D=2,m=2,R=14,TO=2+2+1,X=0,Y=0-",,,,,,,,,,,
StartNodePositionHighDensityTime-10-20210614-13:08:30-32565,runattr,,,measurement,"$T=2, $D=2, $m=2, $R=14, $TO=2+2+1, $X=0, $Y=0",,,,,,,,,,,
StartNodePositionHighDensityTime-10-20210614-13:08:30-32565,runattr,,,network,Floorplan,,,,,,,,,,,
StartNodePositionHighDensityTime-10-20210614-13:08:30-32565,runattr,,,processid,32565,,,,,,,,,,,
StartNodePositionHighDensityTime-10-20210614-13:08:30-32565,runattr,,,repetition,10,,,,,,,,,,,
StartNodePositionHighDensityTime-10-20210614-13:08:30-32565,runattr,,,replication,#10,,,,,,,,,,,
StartNodePositionHighDensityTime-10-20210614-13:08:30-32565,runattr,,,resultdir,results,,,,,,,,,,,
StartNodePositionHighDensityTime-10-20210614-13:08:30-32565,runattr,,,runnumber,10,,,,,,,,,,,
StartNodePositionHighDensityTime-10-20210614-13:08:30-32565,runattr,,,seedset,1032565,,,,,,,,,,,
StartNodePositionHighDensityTime-10-20210614-13:08:30-32565,itervar,,,D,2,,,,,,,,,,,
StartNodePositionHighDensityTime-10-20210614-13:08:30-32565,itervar,,,R,14,,,,,,,,,,,
StartNodePositionHighDensityTime-10-20210614-13:08:30-32565,itervar,,,T,2,,,,,,,,,,,
StartNodePositionHighDensityTime-10-20210614-13:08:30-32565,itervar,,,TO,2+2+1,,,,,,,,,,,
StartNodePositionHighDensityTime-10-20210614-13:08:30-32565,itervar,,,X,0,,,,,,,,,,,
StartNodePositionHighDensityTime-10-20210614-13:08:30-32565,itervar,,,Y,0,,,,,,,,,,,
StartNodePositionHighDensityTime-10-20210614-13:08:30-32565,itervar,,,m,2,,,,,,,,,,,
StartNodePositionHighDensityTime-10-20210614-13:08:30-32565,param,,,Floorplan.userCount,1125,,,,,,,,,,,
StartNodePositionHighDensityTime-10-20210614-13:08:30-32565,param,,,Floorplan.sizeX,150m,,,,,,,,,,,
StartNodePositionHighDensityTime-10-20210614-13:08:30-32565,param,,,Floorplan.sizeY,150m,,,,,,,,,,,
StartNodePositionHighDensityTime-10-20210614-13:08:30-32565,param,,,Floorplan.user[*].hearWindow,2,,,,,,,,,,,
StartNodePositionHighDensityTime-10-20210614-13:08:30-32565,param,,,Floorplan.user[*].relayDelay,"intuniform(0, 2)",,,,,,,,,,,
StartNodePositionHighDensityTime-10-20210614-13:08:30-32565,param,,,Floorplan.user[*].maxCopies,2,,,,,,,,,,,
StartNodePositionHighDensityTime-10-20210614-13:08:30-32565,param,,,Floorplan.user[*].broadcastRadius,14m,,,,,,,,,,,
StartNodePositionHighDensityTime-10-20210614-13:08:30-32565,param,,,Floorplan.oracle.timeout,2+2+1,,,,,,,,,,,
StartNodePositionHighDensityTime-10-20210614-13:08:30-32565,param,,,Floorplan.indexStartingNode,0,,,,,,,,,,,
StartNodePositionHighDensityTime-10-20210614-13:08:30-32565,param,,,Floorplan.user[0].sendOnStart,true,,,,,,,,,,,
StartNodePositionHighDensityTime-10-20210614-13:08:30-32565,param,,,Floorplan.user[0].posX,0m,,,,,,,,,,,
StartNodePositionHighDensityTime-10-20210614-13:08:30-32565,param,,,Floorplan.user[0].posY,0m,,,,,,,,,,,
StartNodePositionHighDensityTime-11-20210614-13:08:41-32565,runattr,,,configname,StartNodePositionHighDensityTime,,,,,,,,,,,
StartNodePositionHighDensityTime-11-20210614-13:08:41-32565,runattr,,,datetime,20210614-13:08:41,,,,,,,,,,,
StartNodePositionHighDensityTime-11-20210614-13:08:41-32565,runattr,,,experiment,"StartNodePositionHighDensityTime-T=2,D=2,m=2,R=14,TO=2+2+1,X=0,Y=0-",,,,,,,,,,,
StartNodePositionHighDensityTime-11-20210614-13:08:41-32565,runattr,,,inifile,simulations.ini,,,,,,,,,,,
StartNodePositionHighDensityTime-11-20210614-13:08:41-32565,runattr,,,iterationvars,"$T=2, $D=2, $m=2, $R=14, $TO=2+2+1, $X=0, $Y=0",,,,,,,,,,,
StartNodePositionHighDensityTime-11-20210614-13:08:41-32565,runattr,,,iterationvarsf,"T=2,D=2,m=2,R=14,TO=2+2+1,X=0,Y=0-",,,,,,,,,,,
StartNodePositionHighDensityTime-11-20210614-13:08:41-32565,runattr,,,measurement,"$T=2, $D=2, $m=2, $R=14, $TO=2+2+1, $X=0, $Y=0",,,,,,,,,,,
StartNodePositionHighDensityTime-11-20210614-13:08:41-32565,runattr,,,network,Floorplan,,,,,,,,,,,
StartNodePositionHighDensityTime-11-20210614-13:08:41-32565,runattr,,,processid,32565,,,,,,,,,,,
StartNodePositionHighDensityTime-11-20210614-13:08:41-32565,runattr,,,repetition,11,,,,,,,,,,,
StartNodePositionHighDensityTime-11-20210614-13:08:41-32565,runattr,,,replication,#11,,,,,,,,,,,
StartNodePositionHighDensityTime-11-20210614-13:08:41-32565,runattr,,,resultdir,results,,,,,,,,,,,
StartNodePositionHighDensityTime-11-20210614-13:08:41-32565,runattr,,,runnumber,11,,,,,,,,,,,
StartNodePositionHighDensityTime-11-20210614-13:08:41-32565,runattr,,,seedset,1132565,,,,,,,,,,,
StartNodePositionHighDensityTime-11-20210614-13:08:41-32565,itervar,,,D,2,,,,,,,,,,,
StartNodePositionHighDensityTime-11-20210614-13:08:41-32565,itervar,,,R,14,,,,,,,,,,,
StartNodePositionHighDensityTime-11-20210614-13:08:41-32565,itervar,,,T,2,,,,,,,,,,,
StartNodePositionHighDensityTime-11-20210614-13:08:41-32565,itervar,,,TO,2+2+1,,,,,,,,,,,
StartNodePositionHighDensityTime-11-20210614-13:08:41-32565,itervar,,,X,0,,,,,,,,,,,
StartNodePositionHighDensityTime-11-20210614-13:08:41-32565,itervar,,,Y,0,,,,,,,,,,,
StartNodePositionHighDensityTime-11-20210614-13:08:41-32565,itervar,,,m,2,,,,,,,,,,,
StartNodePositionHighDensityTime-11-20210614-13:08:41-32565,param,,,Floorplan.userCount,1125,,,,,,,,,,,
StartNodePositionHighDensityTime-11-20210614-13:08:41-32565,param,,,Floorplan.sizeX,150m,,,,,,,,,,,
StartNodePositionHighDensityTime-11-20210614-13:08:41-32565,param,,,Floorplan.sizeY,150m,,,,,,,,,,,
StartNodePositionHighDensityTime-11-20210614-13:08:41-32565,param,,,Floorplan.user[*].hearWindow,2,,,,,,,,,,,
StartNodePositionHighDensityTime-11-20210614-13:08:41-32565,param,,,Floorplan.user[*].relayDelay,"intuniform(0, 2)",,,,,,,,,,,
StartNodePositionHighDensityTime-11-20210614-13:08:41-32565,param,,,Floorplan.user[*].maxCopies,2,,,,,,,,,,,
StartNodePositionHighDensityTime-11-20210614-13:08:41-32565,param,,,Floorplan.user[*].broadcastRadius,14m,,,,,,,,,,,
StartNodePositionHighDensityTime-11-20210614-13:08:41-32565,param,,,Floorplan.oracle.timeout,2+2+1,,,,,,,,,,,
StartNodePositionHighDensityTime-11-20210614-13:08:41-32565,param,,,Floorplan.indexStartingNode,0,,,,,,,,,,,
StartNodePositionHighDensityTime-11-20210614-13:08:41-32565,param,,,Floorplan.user[0].sendOnStart,true,,,,,,,,,,,
StartNodePositionHighDensityTime-11-20210614-13:08:41-32565,param,,,Floorplan.user[0].posX,0m,,,,,,,,,,,
StartNodePositionHighDensityTime-11-20210614-13:08:41-32565,param,,,Floorplan.user[0].posY,0m,,,,,,,,,,,
StartNodePositionHighDensityTime-0-20210614-13:08:30-32563,runattr,,,configname,StartNodePositionHighDensityTime,,,,,,,,,,,
StartNodePositionHighDensityTime-0-20210614-13:08:30-32563,runattr,,,datetime,20210614-13:08:30,,,,,,,,,,,
StartNodePositionHighDensityTime-0-20210614-13:08:30-32563,runattr,,,experiment,"StartNodePositionHighDensityTime-T=2,D=2,m=2,R=14,TO=2+2+1,X=0,Y=0-",,,,,,,,,,,
StartNodePositionHighDensityTime-0-20210614-13:08:30-32563,runattr,,,inifile,simulations.ini,,,,,,,,,,,
StartNodePositionHighDensityTime-0-20210614-13:08:30-32563,runattr,,,iterationvars,"$T=2, $D=2, $m=2, $R=14, $TO=2+2+1, $X=0, $Y=0",,,,,,,,,,,
StartNodePositionHighDensityTime-0-20210614-13:08:30-32563,runattr,,,iterationvarsf,"T=2,D=2,m=2,R=14,TO=2+2+1,X=0,Y=0-",,,,,,,,,,,
