run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,binedges,binvalues,vectime,vecvalue
StartNodePositionLowDensityTime-12-20210614-12:44:56-28479,runattr,,,configname,StartNodePositionLowDensityTime,,,,,,,,,,,
StartNodePositionLowDensityTime-12-20210614-12:44:56-28479,runattr,,,datetime,20210614-12:44:56,,,,,,,,,,,
StartNodePositionLowDensityTime-12-20210614-12:44:56-28479,runattr,,,experiment,"StartNodePositionLowDensityTime-T=2,D=2,m=2,R=42,TO=2+2+1,X=0,Y=0-",,,,,,,,,,,
StartNodePositionLowDensityTime-12-20210614-12:44:56-28479,runattr,,,inifile,simulations.ini,,,,,,,,,,,
StartNodePositionLowDensityTime-12-20210614-12:44:56-28479,runattr,,,iterationvars,"$T=2, $D=2, $m=2, $R=42, $TO=2+2+1, $X=0, $Y=0",,,,,,,,,,,
StartNodePositionLowDensityTime-12-20210614-12:44:56-28479,runattr,,,iterationvarsf,"T=2,D=2,m=2,R=42,TO=2+2+1,X=0,Y=0-",,,,,,,,,,,
StartNodePositionLowDensityTime-12-20210614-12:44:56-28479,runattr,,,measurement,"$T=2, $D=2, $m=2, $R=42, $TO=2+2+1, $X=0, $Y=0",,,,,,,,,,,
StartNodePositionLowDensityTime-12-20210614-12:44:56-28479,runattr,,,network,Floorplan,,,,,,,,,,,
StartNodePositionLowDensityTime-12-20210614-12:44:56-28479,runattr,,,processid,28479,,,,,,,,,,,
StartNodePositionLowDensityTime-12-20210614-12:44:56-28479,runattr,,,repetition,12,,,,,,,,,,,
StartNodePositionLowDensityTime-12-20210614-12:44:56-28479,runattr,,,replication,#12,,,,,,,,,,,
StartNodePositionLowDensityTime-12-20210614-12:44:56-28479,runattr,,,resultdir,results,,,,,,,,,,,
StartNodePositionLowDensityTime-12-20210614-12:44:56-28479,runattr,,,runnumber,12,,,,,,,,,,,
StartNodePositionLowDensityTime-12-20210614-12:44:56-28479,runattr,,,seedset,1228479,,,,,,,,,,,
StartNodePositionLowDensityTime-12-20210614-12:44:56-28479,itervar,,,D,2,,,,,,,,,,,
StartNodePositionLowDensityTime-12-20210614-12:44:56-28479,itervar,,,R,42,,,,,,,,,,,
StartNodePositionLowDensityTime-12-20210614-12:44:56-28479,itervar,,,T,2,,,,,,,,,,,
StartNodePositionLowDensityTime-12-20210614-12:44:56-28479,itervar,,,TO,2+2+1,,,,,,,,,,,
StartNodePositionLowDensityTime-12-20210614-12:44:56-28479,itervar,,,X,0,,,,,,,,,,,
StartNodePositionLowDensityTime-12-20210614-12:44:56-28479,itervar,,,Y,0,,,,,,,,,,,
StartNodePositionLowDensityTime-12-20210614-12:44:56-28479,itervar,,,m,2,,,,,,,,,,,
StartNodePositionLowDensityTime-12-20210614-12:44:56-28479,param,,,Floorplan.userCount,1250,,,,,,,,,,,
StartNodePositionLowDensityTime-12-20210614-12:44:56-28479,param,,,Floorplan.sizeX,500m,,,,,,,,,,,
StartNodePositionLowDensityTime-12-20210614-12:44:56-28479,param,,,Floorplan.sizeY,500m,,,,,,,,,,,
StartNodePositionLowDensityTime-12-20210614-12:44:56-28479,param,,,Floorplan.user[*].hearWindow,2,,,,,,,,,,,
StartNodePositionLowDensityTime-12-20210614-12:44:56-28479,param,,,Floorplan.user[*].relayDelay,"intuniform(0, 2)",,,,,,,,,,,
StartNodePositionLowDensityTime-12-20210614-12:44:56-28479,param,,,Floorplan.user[*].maxCopies,2,,,,,,,,,,,
StartNodePositionLowDensityTime-12-20210614-12:44:56-28479,param,,,Floorplan.user[*].broadcastRadius,42m,,,,,,,,,,,
StartNodePositionLowDensityTime-12-20210614-12:44:56-28479,param,,,Floorplan.oracle.timeout,2+2+1,,,,,,,,,,,
StartNodePositionLowDensityTime-12-20210614-12:44:56-28479,param,,,Floorplan.indexStartingNode,0,,,,,,,,,,,
StartNodePositionLowDensityTime-12-20210614-12:44:56-28479,param,,,Floorplan.user[0].sendOnStart,true,,,,,,,,,,,
StartNodePositionLowDensityTime-12-20210614-12:44:56-28479,param,,,Floorplan.user[0].posX,0m,,,,,,,,,,,
StartNodePositionLowDensityTime-12-20210614-12:44:56-28479,param,,,Floorplan.user[0].posY,0m,,,,,,,,,,,
StartNodePositionLowDensityTime-10-20210614-12:44:24-28479,runattr,,,configname,StartNodePositionLowDensityTime,,,,,,,,,,,
StartNodePositionLowDensityTime-10-20210614-12:44:24-28479,runattr,,,datetime,20210614-12:44:24,,,,,,,,,,,
StartNodePositionLowDensityTime-10-20210614-12:44:24-28479,runattr,,,experiment,"StartNodePositionLowDensityTime-T=2,D=2,m=2,R=42,TO=2+2+1,X=0,Y=0-",,,,,,,,,,,
StartNodePositionLowDensityTime-10-20210614-12:44:24-28479,runattr,,,inifile,simulations.ini,,,,,,,,,,,
StartNodePositionLowDensityTime-10-20210614-12:44:24-28479,runattr,,,iterationvars,"$T=2, $D=2, $m=2, $R=42, $TO=2+2+1, $X=0, $Y=0",,,,,,,,,,,
StartNodePositionLowDensityTime-10-20210614-12:44:24-28479,runattr,,,iterationvarsf,"T=2,D=2,m=2,R=42,TO=2+2+1,X=0,Y=0-",,,,,,,,,,,
StartNodePositionLowDensityTime-10-20210614-12:44:24-28479,runattr,,,measurement,"$T=2, $D=2, $m=2, $R=42, $TO=2+2+1, $X=0, $Y=0",,,,,,,,,,,
StartNodePositionLowDensityTime-10-20210614-12:44:24-28479,runattr,,,network,Floorplan,,,,,,,,,,,
StartNodePositionLowDensityTime-10-20210614-12:44:24-28479,runattr,,,processid,28479,,,,,,,,,,,
StartNodePositionLowDensityTime-10-20210614-12:44:24-28479,runattr,,,repetition,10,,,,,,,,,,,
StartNodePositionLowDensityTime-10-20210614-12:44:24-28479,runattr,,,replication,#10,,,,,,,,,,,
StartNodePositionLowDensityTime-10-20210614-12:44:24-28479,runattr,,,resultdir,results,,,,,,,,,,,
StartNodePositionLowDensityTime-10-20210614-12:44:24-28479,runattr,,,runnumber,10,,,,,,,,,,,
StartNodePositionLowDensityTime-10-20210614-12:44:24-28479,runattr,,,seedset,1028479,,,,,,,,,,,
StartNodePositionLowDensityTime-10-20210614-12:44:24-28479,itervar,,,D,2,,,,,,,,,,,
StartNodePositionLowDensityTime-10-20210614-12:44:24-28479,itervar,,,R,42,,,,,,,,,,,
StartNodePositionLowDensityTime-10-20210614-12:44:24-28479,itervar,,,T,2,,,,,,,,,,,
