run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,binedges,binvalues
HighDensity2kr-0-20210130-15:40:13-4396,runattr,,,configname,HighDensity2kr,,,,,,,,,
HighDensity2kr-0-20210130-15:40:13-4396,runattr,,,datetime,20210130-15:40:13,,,,,,,,,
HighDensity2kr-0-20210130-15:40:13-4396,runattr,,,experiment,"""HighDensity2kr-T=1,D=1,m=1,R=10,TO=1+1+1-""",,,,,,,,,
HighDensity2kr-0-20210130-15:40:13-4396,runattr,,,inifile,simulations.ini,,,,,,,,,
HighDensity2kr-0-20210130-15:40:13-4396,runattr,,,iterationvars,"$T=1, $D=1, $m=1, $R=10, $TO=1+1+1",,,,,,,,,
HighDensity2kr-0-20210130-15:40:13-4396,runattr,,,iterationvarsf,"T=1,D=1,m=1,R=10,TO=1+1+1-",,,,,,,,,
HighDensity2kr-0-20210130-15:40:13-4396,runattr,,,measurement,"$T=1, $D=1, $m=1, $R=10, $TO=1+1+1",,,,,,,,,
HighDensity2kr-0-20210130-15:40:13-4396,runattr,,,network,Floorplan,,,,,,,,,
HighDensity2kr-0-20210130-15:40:13-4396,runattr,,,processid,4396,,,,,,,,,
HighDensity2kr-0-20210130-15:40:13-4396,runattr,,,repetition,0,,,,,,,,,
HighDensity2kr-0-20210130-15:40:13-4396,runattr,,,replication,#0,,,,,,,,,
HighDensity2kr-0-20210130-15:40:13-4396,runattr,,,resultdir,results,,,,,,,,,
HighDensity2kr-0-20210130-15:40:13-4396,runattr,,,runnumber,0,,,,,,,,,
HighDensity2kr-0-20210130-15:40:13-4396,runattr,,,seedset,04396,,,,,,,,,
HighDensity2kr-0-20210130-15:40:13-4396,itervar,,,D,1,,,,,,,,,
HighDensity2kr-0-20210130-15:40:13-4396,itervar,,,R,10,,,,,,,,,
HighDensity2kr-0-20210130-15:40:13-4396,itervar,,,T,1,,,,,,,,,
HighDensity2kr-0-20210130-15:40:13-4396,itervar,,,TO,1+1+1,,,,,,,,,
HighDensity2kr-0-20210130-15:40:13-4396,itervar,,,m,1,,,,,,,,,
HighDensity2kr-0-20210130-15:40:13-4396,param,,,Floorplan.userCount,500,,,,,,,,,
HighDensity2kr-0-20210130-15:40:13-4396,param,,,Floorplan.sizeX,100m,,,,,,,,,
